"cod_ann","location","nature","type","title","link","price","date_modified","has_photo","is_professional","scrape_date"
"3398488","Ain Zaghouan","Bureaux & Commer","Fond de Com","Fonds de commerce � ain","Details_Annonces_Immobilier.asp?cod_ann=3398488&titre=Fonds de commerce � ain zaghouan","50 000","14/11/2025","true","false","2025-11-14T15:42:00.686Z"
"3280051","El Menzah 1","Vente","Maisons","Terrain � el menzah","Details_Annonces_Immobilier.asp?cod_ann=3280051&titre=Terrain � el menzah 1","1 950 000","14/11/2025","true","true","2025-11-14T15:42:01.391Z"
"3311860","Borj Touil","Terrain","Terrain nu","Terrain � borj touil","Details_Annonces_Immobilier.asp?cod_ann=3311860&titre=Terrain � borj touil","277 000","14/11/2025","true","true","2025-11-14T15:42:02.105Z"
"3188058","Berge Du Lac","Bureaux & Commer","Fond de Com","Salon de coiffure et","Details_Annonces_Immobilier.asp?cod_ann=3188058&titre=Salon de coiffure et esth�tique au lac 1","150 000","14/11/2025","true","true","2025-11-14T15:42:02.795Z"
"3391168","Berge Du Lac","Bureaux & Commer","Bureau","Bureau lac 1","Details_Annonces_Immobilier.asp?cod_ann=3391168&titre=Bureau lac 1","400 000","14/11/2025","true","true","2025-11-14T15:42:03.480Z"
"3365102","La Soukra","Vente","Maisons","Petit immeuble avec","Details_Annonces_Immobilier.asp?cod_ann=3365102&titre=Petit immeuble avec 4 apparts � la soukra","440 000","14/11/2025","true","true","2025-11-14T15:42:04.169Z"
"3383396","Mutuelle Ville","Vente","App. 4 pi�c","Villa � notre dame","Details_Annonces_Immobilier.asp?cod_ann=3383396&titre=Villa � notre dame","1 850 000","14/11/2025","true","true","2025-11-14T15:42:04.856Z"
"3421969","El Mourouj","Location","Maisons","Rdc  mourouj 1","Details_Annonces_Immobilier.asp?cod_ann=3421969&titre=Rdc  mourouj 1","800","14/11/2025","false","false","2025-11-14T15:42:05.527Z"
"3432762","Cite Jardins","Bureaux & Commer","Bureau","Bureau r plus 3  � a","Details_Annonces_Immobilier.asp?cod_ann=3432762&titre=Bureau r plus 3  � alain savary","2 600","14/11/2025","true","true","2025-11-14T15:42:06.187Z"
"3427487","Cite Jardins","Vente","App. 3 pi�c","Appartement s plus 2","Details_Annonces_Immobilier.asp?cod_ann=3427487&titre=Appartement s plus 2 � cit� jardins","412 000","14/11/2025","true","true","2025-11-14T15:42:06.860Z"
"3435552","Bou Hnech","Terrain","Terrain agr","Terrain en face du port","Details_Annonces_Immobilier.asp?cod_ann=3435552&titre=Terrain en face du port financier","270 000","14/11/2025","true","false","2025-11-14T15:42:07.544Z"
"3427495","Cite Jardins","Bureaux & Commer","Bureau","3 etages bureautique","Details_Annonces_Immobilier.asp?cod_ann=3427495&titre=3 etages bureautiques � alain savary","20 000","14/11/2025","true","true","2025-11-14T15:42:08.235Z"
"3422852","Hammam El Gheza","Vente","Autre","Terrain villa nahawa","Details_Annonces_Immobilier.asp?cod_ann=3422852&titre=Terrain villa nahawand  � hammem ghzez","185 000","14/11/2025","true","true","2025-11-14T15:42:08.935Z"
